timestamp,lat,lon,Total,Countrate,U238,K40,Th232,Cs137,Height,Press,Temp,Hum
1749569686192,63.79221940407377,9.37155867040488,102,165,-8.549,38.379,68.362,77.221,64.10698835274542,1006.8587083832336,13.464441117764473,61.648882235528944
1749569689200,63.79222008979167,9.371555845375,94,184,67.33,146.866,-0.718,19.775,64.715,1006.9153633100698,13.45,61.62443668993021
1749569690402,63.79222066201563,9.371552734022892,105,185,60.827,134.084,35.106,0.611,64.907202680067,1006.922066467066,13.442445109780438,61.62
1749569692204,63.79221955400721,9.3715559732335,81,121,60.119,200.18,-1.495,-2.484,65.0,1006.9712982035928,13.434461077844311,61.63107784431138
1749569692804,63.79221987853283,9.371565775272236,94,218,-20.01,157.191,52.442,33.79,65.00561097256858,1006.9885661016948,13.43,61.63542372881356
1749569693405,63.79222101364827,9.37158177466834,66,117,-26.003,296.943,23.052,40.662,65.10685618729096,1007.0076806580258,13.43,61.61744765702891
1749569694004,63.792222963089294,9.37160168478924,79,140,28.147,254.706,17.284,22.001,65.20698835274543,1007.0289083832334,13.426506986027944,61.61
1749569694606,63.79222521078889,9.371623397308332,84,100,54.749,19.877,41.99,-10.714,65.31433333333334,1007.0517988023952,13.420499001996008,61.61
1749569695207,63.79222752684138,9.371646693538548,80,108,-17.503,-47.992,92.749,-3.173,65.51464226289518,1007.0761359281436,13.42,61.61
1749569695809,63.79222983659176,9.371670832284645,79,139,-37.356,697.352,8.005,60.084,65.72247191011236,1007.0979869177404,13.41850346878097,61.608503468780974
1749569696409,63.79223218276756,9.371694924779822,93,159,15.454,138.569,39.328,26.04,66.01371237458194,1007.1118422200198,13.412556987115956,61.60255698711596
1749569697010,63.79223460884637,9.371719054256792,84,155,14.469,95.516,39.213,8.931,66.21464226289518,1007.1266571286142,13.41,61.59316051844467
1749569697611,63.79223723881111,9.371742792311112,68,114,-25.734,138.533,48.908,30.569,66.41466666666668,1007.1421764705882,13.41,61.58117647058823
1749569698215,63.79223998584027,9.371766392304494,66,103,41.091,59.956,3.731,27.67,66.61597337770382,1007.1580048902196,13.404560878243512,61.58
1749569698813,63.79224316067416,9.371789565842697,94,170,74.915,-6.677,-7.614,18.824,66.81685393258427,1007.1708583832336,13.4,61.58
1749569699413,63.79224615407469,9.371813105774804,67,75,-37.98,223.148,56.002,12.687,67.01371237458194,1007.1745110778444,13.4,61.58
1749569700015,63.792249271442785,9.3718368360199,77,116,64.566,161.033,6.361,10.359,67.21492537313434,1007.185731037924,13.4,61.583403193612774
1749569700616,63.79225174772398,9.371860624187534,73,106,55.17,157.034,12.702,50.695,67.40717863105176,1007.2027053892216,13.4,61.58940119760479
1749569701216,63.792254041633335,9.371884657433334,62,95,-23.737,338.151,60.376,1.137,67.51466666666667,1007.2082763708876,13.394616151545364,61.59538384845464
1749569701817,63.79225633256554,9.371908404962548,78,146,2.978,253.026,-1.958,107.627,67.71123595505618,1007.2109389221556,13.39,61.594491017964074
1749569702423,63.79225858094482,9.371932100462653,69,143,-14.275,534.152,20.891,17.262,67.90785953177259,1007.2080359281435,13.39,61.57029940119761
1749569703023,63.792260793352945,9.371955523431373,60,112,-25.634,259.851,60.299,-5.47,68.00823529411764,1007.2083078156312,13.386573146292584,61.56342685370742
1749569703618,63.79226328961175,9.371978647936771,71,135,-24.623,334.035,45.778,25.368,68.10815307820299,1007.2109310621242,13.380611222444893,61.56938877755511
1749569704219,63.79226543739323,9.37200193657238,59,109,27.841,41.837,26.368,29.79,68.2,1007.2075353293412,13.38,61.57
1749569704819,63.79226767897628,9.372025526941323,59,115,-36.429,243.784,54.329,13.333,68.2059925093633,1007.2036287425152,13.38,61.571377245508984
1749569705420,63.79227020919856,9.372049266281197,64,95,-58.051,318.459,68.21,46.615,68.3,1007.2002698602796,13.38,61.57737524950099
1749569706632,63.792275691616744,9.37209603343594,57,85,1.517,293.185,6.212,34.199,68.3,1007.198989232303,13.370538384845464,61.57053838484546
1749569707232,63.792278769911405,9.372120005426355,76,122,67.431,65.866,1.888,-8.277,68.3,1007.2024874251496,13.37,61.57
1749569707833,63.79228142044944,9.372143467571783,41,85,-4.078,14.688,25.55,28.978,68.3,1007.204661976048,13.37,61.565658682634734
1749569708433,63.7922835692873,9.37216711435108,75,150,33.234,128.71,-2.172,35.245,68.30931780366056,1007.2016080838324,13.37,61.54769461077844
1749569709034,63.792285744434274,9.3721904589878,64,110,-40.34,293.897,58.87,5.041,68.39068219633944,1007.2066449651048,13.366570289132602,61.546859421734794
1749569709634,63.79228811206945,9.372213720194445,59,90,7.221,273.56,28.725,-13.706,68.30916666666667,1007.217711764706,13.360588235294117,61.55882352941177
1749569710236,63.792290671217415,9.372237459090403,52,88,-5.86,115.175,47.489,-10.376,68.4,1007.2146272455092,13.36,61.549161676646705
1749569710835,63.79229336977529,9.372261117111943,63,106,-24.12,64.445,34.302,44.45,68.40686641697879,1007.2114353293412,13.36,61.542794411177645
1749569711435,63.792295727366664,9.372284965833334,60,95,14.878,447.029,0.254,-0.413,68.5,1007.2128724550898,13.36,61.55477045908184
1749569712036,63.79229848483639,9.372309131999446,64,115,29.863,128.007,35.937,6.3,68.50915141430949,1007.2134324027916,13.356620139581256,61.556620139581256
1749569712635,63.79230008386645,9.372331063107165,59,90,35.25,24.145,21.522,-0.897,68.35169628432956,1007.2133129611168,13.350648055832504,61.5506480558325
1749569713836,63.79230632975864,9.372381128198086,77,90,-26.227,205.672,53.244,28.534,68.71298377028714,1007.2131866267464,13.35,61.56
1749569714438,63.792308513660565,9.37240457021908,56,95,-9.103,156.985,19.282,42.585,68.81797004991681,1007.213126546906,13.35,61.56
1749569715037,63.79231076961176,9.3724272261675,57,126,16.576,106.14,10.215,4.96,69.00865224625623,1007.2151916251246,13.34667996011964,61.556679960119645
1749569715640,63.79231300583472,9.37245049987798,59,130,74.966,121.259,-35.035,25.161,69.1089850249584,1007.2189791625124,13.340667996011964,61.55066799601196
1749569716241,63.79231524226844,9.37247379384914,64,115,-7.842,114.933,22.847,55.713,69.21797004991681,1007.2222245508982,13.34,61.56065868263473
1749569716841,63.792317684086555,9.372497019201,67,95,-18.299,412.793,35.553,17.334,69.40661672908864,1007.2265443113772,13.34,61.56736526946108
1749569717441,63.79231974525723,9.372518813987138,66,106,-40.866,186.867,47.057,40.741,69.19735048231512,1007.2349275449102,13.34,61.55538922155689
1749569718642,63.792325934370496,9.372567727149196,50,85,11.901,121.33,10.151,53.964,69.71730449251248,1007.2385143569292,13.33071784646062,61.522153539381854
1749569719242,63.79232920397116,9.37259164208264,71,70,28.933,1.93,6.03,29.647,69.91697171381033,1007.2317550898204,13.33,61.509461077844314
