timestamp,lat,lon,Total,Countrate,U238,K40,Th232,Cs137,Height,Press,Temp,Hum
1749818181208,63.354984937118694,10.42475557754021,124,183,124.101,156.497,13.75,-13.505,123.7,1012.4904038922156,31.715499001996008,32.06549900199601
1749818184212,63.354983617470886,10.424759976858017,101,170,20.474,965.756,-25.305,37.75,123.80565723793676,1012.4545371257484,31.67552894211577,32.012115768463076
1749818184812,63.354979846966295,10.424765044637953,106,200,8.256,245.055,30.751,45.165,123.90411985018729,1012.448184231537,31.669540918163673,31.991377245508986
1749818185412,63.35497315713333,10.424772302044444,114,162,-5.519,81.386,73.139,11.836,124.0,1012.4453698602794,31.663552894211577,32.00934131736527
1749818186013,63.354963060188574,10.424783134636716,109,222,9.587,321.498,55.707,26.265,123.9945091514143,1012.4425752495008,31.65755489021956,32.02733532934132
1749818186613,63.35495267309154,10.424793231531376,110,197,24.107,535.463,6.07,30.445,123.8046079447323,1012.439820758483,31.651566866267466,32.0452994011976
1749818187213,63.354936512086454,10.424811697111387,117,210,50.979,452.482,1.091,21.93,123.89226932668328,1012.4370662674652,31.641157684630738,32.06326347305389
1749818187814,63.354921024713214,10.424826023027848,141,220,33.713,385.812,59.079,42.117,123.79613466334165,1012.434018444666,31.629581256231305,32.07623130608175
1749818188413,63.35490648771405,10.424838875519535,106,175,33.519,104.197,14.698,55.525,123.7,1012.4271505483548,31.623609172482553,32.02248255234297
1749818189015,63.354891264486106,10.424851985461112,102,135,-71.376,682.932,49.281,81.566,123.70483333333334,1012.4224011976048,31.61760479041916,31.99
1749818189615,63.35487634061097,10.424864419310058,139,191,41.697,239.901,42.844,-3.789,123.8,1012.4209041916168,31.611616766467066,31.99
1749818190819,63.3548469120412,10.424890407790262,109,204,39.265,194.469,38.679,17.685,123.8,1012.4168403193612,31.599600798403195,31.99760479041916
1749818192022,63.35481676196062,10.424918553918468,101,121,62.064,245.212,34.077,-22.152,123.9,1012.4112682634732,31.58759481037924,31.98329341317365
1749818192622,63.354803801025646,10.424929202840238,101,152,-14.187,511.051,52.461,-12.989,123.75563905325444,1012.4069568862276,31.581606786427145,32.09107784431138
1749818193224,63.35478614221298,10.424945999237384,106,174,4.643,875.067,6.509,3.604,123.9,1012.4041731804588,31.571206380857426,32.045254237288134
1749818193825,63.3547707849459,10.4249583753454,104,176,-59.517,350.282,77.597,48.497,123.9039950062422,1012.401928742515,31.559610778443112,31.95116766467066
1749818194427,63.35475632002219,10.424971477889628,130,246,-70.08,412.372,94.57,39.636,124.0,1012.399285229541,31.553602794411177,31.969191616766462
1749818195035,63.35474360396284,10.42498255596506,105,165,23.814,366.066,38.246,24.117,124.0,1012.3967879241516,31.54753493013972,31.97506986027944
1749818195628,63.3547334543178,10.424990845371603,117,160,64.281,61.639,11.548,-10.208,124.0,1012.3945982035927,31.541616766467065,31.963233532934133
1749818196231,63.35472513685525,10.42499763151969,119,189,-9.398,410.572,54.574,19.106,124.0,1012.3919754491018,31.53559880239521,32.02161676646707
1749818196830,63.35471868167915,10.42500259599251,124,225,29.75,212.209,43.803,-7.163,124.0,1012.3892673978066,31.52962113659023,32.09431704885344
1749818197431,63.354715140102606,10.42500586722407,108,206,5.414,813.938,-11.999,72.843,123.9945091514143,1012.3871701894316,31.523629112662015,32.00443668993021
1749818198029,63.35471392355796,10.425008144306712,114,181,-22.465,405.357,86.423,20.827,123.9,1012.3851760479042,31.515329341317365,31.94766467065868
1749818199231,63.354715087375,10.425011118,105,165,14.834,381.489,37.274,31.809,123.9,1012.3806776447104,31.49566866267465,31.94
1749818200432,63.354716558277865,10.425013622240709,101,186,14.854,84.698,36.816,39.58,123.90499168053243,1012.3761311377244,31.48368263473054,31.933682634730538
1749818201033,63.35471617510815,10.42502000572102,118,180,9.315,173.484,79.027,-29.816,124.00499168053244,1012.3745211576846,31.477684630738523,31.92768463073852
1749818201642,63.35471483335552,10.425031803264003,104,202,-48.817,438.253,63.689,23.199,124.1063227953411,1012.3730016966068,31.471606786427145,31.921606786427148
1749818202233,63.354713160232755,10.425047455211969,102,171,14.812,178.363,33.597,6.339,124.2,1012.3724285144566,31.465712861415753,31.92
1749818202835,63.35471117702797,10.425066525637696,106,172,86.876,-42.985,18.118,4.121,124.2,1012.3721623752496,31.459710578842316,31.919710578842317
1749818203435,63.3547091799,10.425085580366666,119,205,56.057,273.184,17.533,39.589,124.2,1012.3713839321356,31.45372255489022,31.91372255489022
1749818204035,63.35470738429759,10.425102357863675,132,206,-22.488,660.894,64.095,21.462,124.09650872817954,1012.369653992016,31.447734530938124,31.912265469061875
1749818204638,63.354707361729375,10.425113858706272,110,223,6.899,379.108,41.912,-3.509,123.82502376237623,1012.3663441117764,31.44171656686627,31.918283433133738
1749818205240,63.354705277499995,10.425121471166667,97,149,-23.17,400.606,39.681,38.962,123.995,1012.3611557328016,31.43571286141575,31.85569292123629
1749818205841,63.35470441159674,10.425124690427904,111,195,-29.036,496.594,53.301,-5.431,123.90309690309692,1012.3553546906188,31.42972055888223,31.774191616766466
1749818208246,63.35470298855556,10.42512229551111,86,124,20.185,155.987,42.84,17.117,124.1,1012.349297005988,31.39571856287425,31.901437125748505
1749818209450,63.35470165925679,10.425121639134774,112,190,11.943,415.376,44.487,21.168,124.2,1012.354495314058,31.38370887337986,31.89
1749818210651,63.35470392521909,10.425119034381586,115,180,4.576,697.032,25.814,13.51,124.19417637271216,1012.3562744765704,31.37173479561316,31.89
1749818211252,63.3547085707848,10.425115123266776,112,200,14.455,545.41,17.532,5.919,124.1,1012.358076746507,31.365738522954093,31.89
