timestamp,eID,objectVersion,classID,sensorMeasures,sensorConfig,Realtime,Livetime,Spectrum_length,Spectrum_sum,Spectrum_max,Total,Countrate,Cosmics,vT,datetime
1749562273198.0,SPECTRO_4112,,,,,0.198,0.198,512.0,24.0,2.0,24.0,121.0,0.0,1749562273198.0,2025-06-10 13:31:13.198
1749562273399.0,SPECTRO_4112,,,,,0.2,0.2,512.0,21.0,1.0,21.0,105.0,0.0,1749562273399.0,2025-06-10 13:31:13.399
1749562273599.0,SPECTRO_4112,,,,,0.2,0.2,512.0,24.0,1.0,24.0,120.0,0.0,1749562273599.0,2025-06-10 13:31:13.599
1749562273798.0,SPECTRO_4112,,,,,0.199,0.199,512.0,25.0,3.0,25.0,126.0,1.0,1749562273798.0,2025-06-10 13:31:13.798
1749562273998.0,SPECTRO_4112,,,,,0.199,0.199,512.0,13.0,1.0,13.0,65.0,0.0,1749562273998.0,2025-06-10 13:31:13.998
1749562274205.0,SPECTRO_4112,,,,,0.207,0.207,512.0,29.0,3.0,29.0,140.0,1.0,1749562274205.0,2025-06-10 13:31:14.205
1749562274398.0,SPECTRO_4112,,,,,0.193,0.193,512.0,30.0,2.0,30.0,155.0,1.0,1749562274398.0,2025-06-10 13:31:14.398
1749562274598.0,SPECTRO_4112,,,,,0.2,0.2,512.0,23.0,2.0,23.0,115.0,0.0,1749562274598.0,2025-06-10 13:31:14.598
1749562274801.0,SPECTRO_4112,,,,,0.201,0.201,512.0,19.0,1.0,19.0,95.0,0.0,1749562274801.0,2025-06-10 13:31:14.801
1749562275001.0,SPECTRO_4112,,,,,0.2,0.2,512.0,22.0,2.0,22.0,110.0,0.0,1749562275001.0,2025-06-10 13:31:15.001
1749562275199.0,SPECTRO_4112,,,,,0.197,0.197,512.0,18.0,1.0,18.0,91.0,0.0,1749562275199.0,2025-06-10 13:31:15.199
1749562275398.0,SPECTRO_4112,,,,,0.199,0.199,512.0,24.0,3.0,24.0,121.0,0.0,1749562275398.0,2025-06-10 13:31:15.398
